ИД	ДАТУМ	ИНФИНИТИВ	ПРЕЗЕНТ	ПРЕТЕРИТ	ПЕРФЕКТ	ПРЕВОД
c102919b1f7f43bd975c3e5c4d16d660	2020-02-07	können	kann	konnte	hat gekonnt	moći; umeti
d5a0b281ce924d9290128ac0618fe2b0	2020-02-07	laden	lädt	lud	hat geladen	tovariti
6d470317e66f4658a65f968acfe375f0	2020-02-07	lassen	lässt	ließ	hat gelassen	pustiti
97777462926249a2891ccb840d9b6910	2020-02-08	laufen	läuft	lief	ist gelaufen	trčati; hodati; kretati se
0418d372899f4a1fa5b890911289acd0	2020-02-08	lesen	liest	las	hat gelesen	čitati
b3c14b01fa3b45d7b30bb61e70d49070	2020-02-08	liegen	liegt	lag	hat gelegen	ležati
ce41d40b505442a6a408aa7ba101d880	2020-02-08	lügen	lügt	log	hat gelogen	lagati
837d6ec7c0cc43b6aceaac6f33fa8e10	2020-02-08	mögen	mag	mochte	hat gemocht	voleti; mariti; želeti
fb1d616beea74912b8a9ea8c1ece2d70	2020-02-09	müssen	muss	musste	hat gemusst	morati
f6095ed74cba4b60b3924cce0d836610	2020-02-09	nehmen	nimmt	nahm	hat genommen	uzeti
ae20c6b8b00442f89746d44e558e1890	2020-02-09	raten	rät	riet	hat geraten	savetovati
f3c5ab1afad444bda8962943b19d8420	2020-02-09	rennen	rennt	rannte	ist gerannt	juriti
2f3a1753ec1a4754887f7d4a8d687490	2020-02-09	riechen	riecht	roch	hat gerochen	mirisati
c339c82ebbc14ec694bd0e94573c2e90	2020-02-10	rufen	ruft	rief	hat gerufen	zvati (nekoga)
bc031a42486c4988a22aa697a3960bc0	2020-02-10	schieben	schiebt	schob	hat geschoben	gurati
84bb558a67e24cd883f4d4fa362fe340	2020-02-10	schießen	schießt	schoss	hat geschossen	pucati
f5a79bb4086541b1acd2564f4e4ae7e0	2020-02-10	schlafen	schläft	schlief	hat geschlafen	spavati
40f3d8f5b0b54d1684f530c375ff7810	2020-02-10	schlagen	schlägt	schlug	hat geschlagen	udariti
cf6bdd0f8789401280217c9ed6a6eb10	2020-02-22	schneiden	schneidet	schnitt	hat geschnitten	seći
55ca037b6e9d4e0781cd842669072840	2020-02-22	schreiben	schreibt	schrieb	hat geschrieben	pisati
16245821320145639254a384b1f712c0	2020-02-22	schwimmen	schwimmt	schwamm	ist/hat geschwommen	plivati
62b31643687a40ffbdf83e4e0f484220	2020-02-22	sehen	sieht	sah	hat gesehen	videti; gledati
15a8c401198540d7974c924f6ce99a30	2020-02-22	sein	ist	war	ist gewesen	biti
bc6ef6139f3d4daf876dcaa0274faa20	2020-02-24	singen	singt	sang	hat gesungen	pevati
b94b393097d1422b81d4bb022763a470	2020-02-24	sitzen	sitzt	saß	hat gesessen	sedeti
1eef8e068f0043bf87b221eee33f23d0	2020-02-24	sollen	soll	sollte	hat gesollt	trebati (nešto uraditi)
4c5050d3c67f48b2bd2c16919cadeab0	2020-02-24	sprechen	spricht	sprach	hat gesprochen	govoriti; pričati
b034e14d376b47b1b569c7ffd2eb8de0	2020-02-24	springen	springt	sprang	ist gesprungen	skočiti
bb1b5a59148642c782b28a2402d6ef90	2020-02-28	stehen	steht	stand	hat gestanden	stajati
8e34996672bc45c098818ece2dade2b0	2020-02-28	steigen	steigt	stieg	ist gestiegen	penjati se
c66f45ab51c2454fa83714c754f8aae0	2020-02-28	sterben	stirbt	starb	ist gestorben	umreti
2b8202ce583f49b097f8b7b41d1d7080	2020-02-28	streiten	streitet	stritt	hat gestritten	svađati se
9541e669fb8845b09ca5df816b93e680	2020-02-28	tragen	trägt	trug	hat getragen	nositi
bfb1cf8909644f5bbc938c48be16a9b0	2020-02-28	treffen	trifft	traf	hat getroffen	sresti
e4c44972ef9d4e129e8bab5dd09b87c0	2020-02-28	treten	tritt	trat	hat getreten	stupiti; zgaziti
b6c6befabd724f0f9f9238f11af71800	2020-02-28	trinken	trinkt	trank	hat getrunken	piti
ca641cc6e3584874be0612f5181594b0	2020-02-28	tun	tut	tat	hat getan	činiti
a2ec196025e644e29daf545ca93bc6b0	2020-02-28	vergessen	vergisst	vergaß	hat vergessen	zaboraviti
149a5451c57d4ee5ad138e7d4dafcae0	2020-02-28	verl[ie]ren	verliert	verlor	hat verloren	izgubiti
44513222089443bd8fd5328ffb7716c0	2020-02-28	werden	wird	wurde	ist geworden	postati
9065f7ab3d874ee1bcd35d62e4b69140	2020-02-28	werfen	wirft	warf	hat geworfen	baciti
7bcfe7e4a9f54a4db65f3559d7d1ae60	2020-02-28	wissen	weiß	wusste	hat gewusst	znati
483971489ac6412e8b8e48f0c3a938e0	2020-02-28	wollen	will	wollte	hat gewollt	hteti; želeti
07ff80f532af45fdbb199625854b64c0	2020-02-28	ziehen	zieht	zog	hat/ist gezogen	vući; preseliti se
6534976d72ce4f37b78e861b614e5e30	2020-03-27	backen	backt/bäckt	buk	hat gebacken	peći
f1c28a13fd21439f8d4a577d7aed5c30	2020-03-27	biegen	biegt	bog	hat/ist gebogen	saviti; skrenuti
2036339c6c8c44e1917073e0ee2fb120	2020-03-27	binden	bindet	band	hat gebunden	vezati
baae252851c346d692cac4ffb0c5e6a0	2020-03-27	blasen	bläst	blies	hat geblasen	duvati
e3ed7911247547b6a0823e3f7cb730f0	2020-03-27	braten	brät	briet	hat gebraten	pržiti (kobasice, pljeskavice)
f9e2e6e185054240b333515c6e7cf5f0	2020-03-27	brechen	bricht	brach	hat/ist gebrochen	polomiti; raspasti se
f46f07d43b474898b59a0b3e9bf67730	2020-03-27	erschrecken	erschrickt	erschrak	ist erschrocken	uplašiti se
fd9d8305152e436588f9960d9e39d580	2020-03-27	fangen	fängt	fing	hat gefangen	hvatati; uhvatiti; uloviti
53b3c8fda702407ead1cdd1c97ce0de0	2020-03-27	fechten	ficht	focht	hat gefochten	mačevati se
5237b52c896e4ae5a8702c5c3e713360	2020-03-27	fließen	fließt	floss	ist geflossen	teći
70dff52f8c4c4b23bd9cae6822709b70	2020-03-27	gelingen	gelingt	gelang	ist gelungen	uspeti
5453388e888a4a12a18c824bf6110ff0	2020-03-27	gießen	gießt	goss	hat gegossen	zalivati
45267b76840b4050890798a549ebb410	2020-03-27	graben	gräbt	grub	hat gegraben	kopati
8aa383d5562b4a8f9fd312b15a929780	2020-03-27	greifen	greift	griff	hat gegriffen	zgrabiti
5ba0b8878649447aad7b586771a8a8d0	2020-03-27	kriechen	kriecht	kroch	ist gekrochen	puzati
56fe374724824e49ae02057634e89770	2020-03-27	leiden	leidet	litt	hat gelitten	patiti
c0d766eae1524ffdabfd25d838bdfaa0	2020-03-27	messen	misst	maß	hat gemessen	meriti
ed112fb26a894132be1bd819c6885370	2020-03-27	nennen	nennt	nannte	hat genannt	imenovati
bc3bd96f170444a7a7c20680bfbb6a00	2020-03-27	reiten	reitet	ritt	hat/ist geritten	jahati
b168399d0b534dc7acb587a01b1bbb30	2020-03-27	schmelzen	schmilzt	schmolz	ist geschmolzen	topiti se
bf4f9532308948f0a088825015236fe0	2020-03-27	schweigen	schweigt	schwieg	hat geschwiegen	ćutati
5b1ac738206b4ff3b74ffd921ac72de0	2020-03-27	sinken	sinkt	sank	ist gesunken	(po)tonuti
780d1de1a9fa4d15b4c956f3fa5e66a0	2020-03-27	spinnen	spinnt	spann	hat gesponnen	presti
19aaf12edb3345d5b50861a58e490800	2020-03-27	stechen	sticht	stach	hat gestochen	bosti, probosti
f671933f3cb24789acb8f7c75f5943a0	2020-03-27	stehlen	stiehlt	stahl	hat gestohlen	ukrasti
b532d93d72814838a0ee41c539d3ad70	2020-03-27	stinken	stinkt	stank	hat gestunken	smrdeti
1f481a7a3b6243a7868ecc2cf470d600	2020-03-27	stoßen	stößt	stieß	hat/ist gestoßen	gurnuti (nekoga); naleteti (na nekoga)
ee478488a979452582bed4481b3b3bc0	2020-03-27	verzeihen	verzeiht	verzieh	hat verziehen	oprostiti (delo)
063b5dc8eb204da39ac21b3358436be0	2020-03-27	wachsen	wächst	wuchs	ist gewachsen	rasti
a84c1be0036f43e7b2dd070c691f0ee0	2020-03-27	zwingen	zwingt	zwang	hat gezwungen	primorati
483bd62796e046a2acc86f9f4fae3d70	2020-03-27	scheißen	scheißt	schiss	hat geschissen	srati
9379581daa5240debe177e07dd239200	2020-03-28	vergeben	vergibt	vergab	hat vergeben	praštati (osobi)
a9d538318beb4e08b3cc0d36b8c87ef0	2020-03-29	scheinen	scheint	schien	hat geschienen	izgledati; činiti se
78e514235e664babaed242ea1089cca0	2020-03-29	erscheinen	erscheint	erschien	ist erschienen	pojaviti se
5a3a1c9df833496bb5b07f0cbcffb390	2020-03-29	erhalten	erhält	erhielt	hat erhalten	održati; dobiti (naredbu, kaznu, udarac)
550743fe4fdf4980b7d092fde1a95440	2020-03-29	verlassen	verlässt	verließ	hat verlassen	oslanjati se; zavisiti; napustiti
21865572a47346eeac089f367e21c410	2020-03-31	erkennen	erkennt	erkannte	hat erkannt	prepoznati
c6446dd56d1d400b82ddd692fbbf6180	2020-03-31	erfahren	erfährt	erfuhr	hat erfahren	iskusiti; naučiti; saznati
3a6d2d72eff546969b1c006c39ce9cb0	2020-04-07	vorhaben	hat vor	hatte vor	hat vorgehabt	nameravati; planirati
